"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2007",13728.47,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2008",14829.21,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2009",15967.08,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2010",15799.62,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2011",16522.72,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2012",15943.1,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2013",17482.13,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2014",17503.98,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2015",17688.02,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2016",18426.83,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2017",18741.25,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2018",19408.92,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2019",21834.17,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2007",19394.41,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2008",20605.94,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2009",22176.22,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2010",22220.84,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2011",22633.45,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2012",23802.61,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2013",24758.19,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2014",25593.4,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2015",25536.12,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2016",26370.11,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2017",26714.25,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2018",27818.92,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2019",28487.01,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2020",32075.08,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2007",17844.7,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2008",19235.34,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2009",20657.87,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2010",21480.72,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2011",22643.49,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2012",23884.65,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2013",24507.5,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2014",24980.98,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2015",24819.41,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2016",25814.76,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2017",26246.34,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2018",27490.68,
